Year,Season,Month,Time,# Seats
2030,summer,7,8AM-4PM,5.412258065
2030,summer,7,4PM-12AM,9.413548387
2030,summer,8,12AM-8AM,13.48516129
2030,summer,8,8AM-4PM,5.479354839
2030,summer,8,4PM-12AM,9.445806452
2030,fall,9,12AM-8AM,12.72933333
2030,fall,9,8AM-4PM,6.339333333
2030,fall,9,4PM-12AM,9.73
2030,fall,10,12AM-8AM,12.48129032
2030,fall,10,8AM-4PM,6.614193548
2030,fall,10,4PM-12AM,9.34516129
2030,fall,11,12AM-8AM,12.58133333
2030,fall,11,8AM-4PM,6.147333333
2030,fall,11,4PM-12AM,9.706
2031,winter,12,12AM-8AM,13.49290323
2031,winter,12,8AM-4PM,5.596774194
2031,winter,12,4PM-12AM,9.410967742
2031,winter,1,12AM-8AM,13.64451613
2031,winter,1,8AM-4PM,5.339354839
2031,winter,1,4PM-12AM,9.343225806
2031,winter,2,12AM-8AM,13.67142857
2031,winter,2,8AM-4PM,5.437142857
2031,winter,2,4PM-12AM,9.577857143
2031,spring,3,12AM-8AM,12.53870968
2031,spring,3,8AM-4PM,6.445806452
2031,spring,3,4PM-12AM,9.368387097
2031,spring,4,12AM-8AM,12.76133333
2031,spring,4,8AM-4PM,6.514
2031,spring,4,4PM-12AM,9.458
2031,spring,5,12AM-8AM,12.47677419
2031,spring,5,8AM-4PM,6.306451613
2031,spring,5,4PM-12AM,9.796129032
2031,summer,6,12AM-8AM,13.55333333
2031,summer,6,8AM-4PM,5.492
2031,summer,6,4PM-12AM,9.460666667
2031,summer,7,12AM-8AM,13.62516129
2031,summer,7,8AM-4PM,5.619354839
2031,summer,7,4PM-12AM,9.303225806
2031,summer,8,12AM-8AM,13.29548387
2031,summer,8,8AM-4PM,5.380645161
2031,summer,8,4PM-12AM,9.225806452
2031,fall,9,12AM-8AM,12.69733333
2031,fall,9,8AM-4PM,6.424
2031,fall,9,4PM-12AM,9.340666667
2031,fall,10,12AM-8AM,12.34322581
2031,fall,10,8AM-4PM,6.303225806
2031,fall,10,4PM-12AM,9.432903226
2031,fall,11,12AM-8AM,12.52333333
2031,fall,11,8AM-4PM,6.342
2031,fall,11,4PM-12AM,9.346
